TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	12/02/21
TIME	16:59:27
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-570, Rev. 1.00
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	2000.0000
LASTX	750.0000
NPOINTS	1251
FIRSTY	0.02884
MAXY	0.78552
MINY	0.02875
XYDATA
2000.0000	0.02884
1999.0000	0.02883
1998.0000	0.02884
1997.0000	0.02884
1996.0000	0.02885
1995.0000	0.02884
1994.0000	0.02882
1993.0000	0.02882
1992.0000	0.02879
1991.0000	0.02878
1990.0000	0.02876
1989.0000	0.02875
1988.0000	0.02875
1987.0000	0.02877
1986.0000	0.02879
1985.0000	0.0288
1984.0000	0.02882
1983.0000	0.02883
1982.0000	0.02884
1981.0000	0.02886
1980.0000	0.02885
1979.0000	0.02884
1978.0000	0.02884
1977.0000	0.02884
1976.0000	0.02881
1975.0000	0.02882
1974.0000	0.02882
1973.0000	0.02883
1972.0000	0.02883
1971.0000	0.02886
1970.0000	0.02887
1969.0000	0.02889
1968.0000	0.02891
1967.0000	0.02889
1966.0000	0.02891
1965.0000	0.02894
1964.0000	0.02894
1963.0000	0.02894
1962.0000	0.02892
1961.0000	0.02894
1960.0000	0.02893
1959.0000	0.02895
1958.0000	0.02896
1957.0000	0.02898
1956.0000	0.029
1955.0000	0.02902
1954.0000	0.02906
1953.0000	0.02905
1952.0000	0.02902
1951.0000	0.02904
1950.0000	0.02902
1949.0000	0.02898
1948.0000	0.02894
1947.0000	0.02892
1946.0000	0.02891
1945.0000	0.0289
1944.0000	0.02891
1943.0000	0.02891
1942.0000	0.02893
1941.0000	0.02893
1940.0000	0.02892
1939.0000	0.02892
1938.0000	0.02892
1937.0000	0.02892
1936.0000	0.02889
1935.0000	0.02889
1934.0000	0.02888
1933.0000	0.02889
1932.0000	0.02888
1931.0000	0.02891
1930.0000	0.02893
1929.0000	0.02896
1928.0000	0.02897
1927.0000	0.029
1926.0000	0.02904
1925.0000	0.02903
1924.0000	0.02901
1923.0000	0.02904
1922.0000	0.02904
1921.0000	0.02905
1920.0000	0.02901
1919.0000	0.02901
1918.0000	0.02901
1917.0000	0.02904
1916.0000	0.029
1915.0000	0.02899
1914.0000	0.02902
1913.0000	0.02904
1912.0000	0.02908
1911.0000	0.02909
1910.0000	0.02909
1909.0000	0.0291
1908.0000	0.02911
1907.0000	0.02911
1906.0000	0.02906
1905.0000	0.02903
1904.0000	0.02901
1903.0000	0.02898
1902.0000	0.02899
1901.0000	0.02894
1900.0000	0.02894
1899.0000	0.02898
1898.0000	0.02905
1897.0000	0.0291
1896.0000	0.02916
1895.0000	0.02924
1894.0000	0.02926
1893.0000	0.02929
1892.0000	0.02931
1891.0000	0.02933
1890.0000	0.02934
1889.0000	0.02932
1888.0000	0.02933
1887.0000	0.02933
1886.0000	0.02933
1885.0000	0.02934
1884.0000	0.02933
1883.0000	0.02936
1882.0000	0.02937
1881.0000	0.02936
1880.0000	0.02936
1879.0000	0.02937
1878.0000	0.02934
1877.0000	0.02934
1876.0000	0.02934
1875.0000	0.02933
1874.0000	0.02933
1873.0000	0.02932
1872.0000	0.02931
1871.0000	0.02932
1870.0000	0.02931
1869.0000	0.0293
1868.0000	0.02931
1867.0000	0.02928
1866.0000	0.02931
1865.0000	0.02931
1864.0000	0.02932
1863.0000	0.02936
1862.0000	0.0294
1861.0000	0.02944
1860.0000	0.02947
1859.0000	0.02947
1858.0000	0.02948
1857.0000	0.02946
1856.0000	0.02946
1855.0000	0.02944
1854.0000	0.02945
1853.0000	0.02946
1852.0000	0.02949
1851.0000	0.02949
1850.0000	0.0295
1849.0000	0.02949
1848.0000	0.0295
1847.0000	0.0295
1846.0000	0.02949
1845.0000	0.02951
1844.0000	0.02953
1843.0000	0.02955
1842.0000	0.02956
1841.0000	0.02957
1840.0000	0.02958
1839.0000	0.02955
1838.0000	0.02955
1837.0000	0.02955
1836.0000	0.02957
1835.0000	0.02957
1834.0000	0.02959
1833.0000	0.02961
1832.0000	0.02963
1831.0000	0.02963
1830.0000	0.02963
