TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	16/10/13
TIME	11:33:15
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-570, Rev. 1.00
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	1600.0000
LASTX	300.0000
NPOINTS	1301
FIRSTY	0.07930
MAXY	2.14776
MINY	0.06779
XYDATA
1430.0000	0.08234
1429.0000	0.08338
1428.0000	0.08443
1427.0000	0.08455
1426.0000	0.08394
1425.0000	0.08294
1424.0000	0.0824
1423.0000	0.08261
1422.0000	0.08341
1421.0000	0.08425
1420.0000	0.08465
1419.0000	0.08431
1418.0000	0.08366
1417.0000	0.08316
1416.0000	0.08318
1415.0000	0.08388
1414.0000	0.08511
1413.0000	0.08553
1412.0000	0.08528
1411.0000	0.0852
1410.0000	0.08434
1409.0000	0.08402
1408.0000	0.08425
1407.0000	0.08501
1406.0000	0.08571
1405.0000	0.08608
1404.0000	0.08604
1403.0000	0.08534
1402.0000	0.0849
1401.0000	0.0846
1400.0000	0.08446
1399.0000	0.08489
1398.0000	0.08565
1397.0000	0.08635
1396.0000	0.08618
1395.0000	0.08557
1394.0000	0.08555
1393.0000	0.08595
1392.0000	0.08678
1391.0000	0.08713
1390.0000	0.08734
1389.0000	0.08779
1388.0000	0.0879
1387.0000	0.08719
1386.0000	0.08673
1385.0000	0.08752
1384.0000	0.08885
1383.0000	0.08895
1382.0000	0.08826
1381.0000	0.08809
1380.0000	0.08812
1379.0000	0.08852
1378.0000	0.08843
1377.0000	0.08857
1376.0000	0.08957
1375.0000	0.09037
1374.0000	0.09062
1373.0000	0.0902
1372.0000	0.09013
1371.0000	0.08997
1370.0000	0.0898
1369.0000	0.08991
1368.0000	0.08941
1367.0000	0.08895
1366.0000	0.08861
1365.0000	0.08856
1364.0000	0.08903
1363.0000	0.08965
1362.0000	0.08997
1361.0000	0.09012
1360.0000	0.08987
1359.0000	0.08984
1358.0000	0.0896
1357.0000	0.08956
1356.0000	0.08975
1355.0000	0.08975
1354.0000	0.08975
1353.0000	0.09015
1352.0000	0.09006
1351.0000	0.0903
1350.0000	0.08997
1349.0000	0.08989
1348.0000	0.09013
1347.0000	0.08972
1346.0000	0.08981
1345.0000	0.08997
1344.0000	0.08993
1343.0000	0.09001
1342.0000	0.09008
1341.0000	0.09006
1340.0000	0.08985
1339.0000	0.08973
1338.0000	0.0901
1337.0000	0.09032
1336.0000	0.09033
1335.0000	0.09042
1334.0000	0.09047
1333.0000	0.09068
1332.0000	0.09082
1331.0000	0.09107
1330.0000	0.09153
1329.0000	0.09145
1328.0000	0.09107
