600LP,,600LP1,,600LP2,,550LP,,600SP800N,,600SP800N1,,530SP,,GSBS,,550LP2,,530SP2,,530SP_HI,,
Wavelength (nm),Abs,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,
800.0541382,0.02885507233,650.0537109,93.92353058,749.9371338,94.32791901,749.9371338,80.84915161,749.9371338,0.04917700589,749.9371338,0.03853470087,749.9371338,10.3850069,749.9371338,0.03444389999,749.9371338,0.1235434413,749.9371338,12.48944473,800.0541382,30.74379349,
795.0581055,0.031092586,649.0315552,94.08599091,748.9477539,94.3587265,748.9477539,80.39440155,748.9477539,0.01801936701,748.9477539,-0.02818640694,748.9477539,7.570318222,748.9477539,0.1170186698,748.9477539,0.04084439203,748.9477539,8.974711418,798.9447632,33.84690094,
790.0521851,0.02485692687,648.0090332,94.07646942,747.9580078,94.21257019,747.9580078,79.92386627,747.9580078,0.02379603311,747.9580078,-0.02622659877,747.9580078,5.717478752,747.9580078,-0.04473200068,747.9580078,-0.005191908218,747.9580078,6.653055668,797.9736938,37.81358337,
785.036377,0.02515739761,646.9862061,94.06573486,746.9678955,94.0043335,746.9678955,79.7051239,746.9678955,-0.04114216194,746.9678955,-0.03462892026,746.9678955,4.655351162,746.9678955,0.08989998698,746.9678955,-0.02750246227,746.9678955,5.091876984,797.0021973,42.95652008,
780.0107422,0.03084289469,645.9630737,94.00009155,745.977478,93.87197876,745.977478,79.42349243,745.977478,0.03355870023,745.977478,-0.001383994473,745.977478,3.825929403,745.977478,0.1634432375,745.977478,0.006243309937,745.977478,4.218080044,796.0303345,48.61152649,
774.9753418,0.02912842482,644.9396362,93.88794708,744.9866943,93.62568665,744.9866943,79.22345734,744.9866943,-0.04456826672,744.9866943,-0.05905867368,744.9866943,3.300199986,744.9866943,0.2114660144,744.9866943,-0.01914222538,744.9866943,3.509716272,795.0581055,55.86217117,
769.9302979,0.02494964004,644.0621338,93.81620789,743.9955444,93.54096222,743.9955444,79.02659607,743.9955444,0.001961882226,743.9955444,0.07678576559,743.9955444,2.797538519,743.9955444,0.1330919564,743.9955444,0.0326721333,743.9955444,3.042947054,793.9465332,65.49951935,
765.0161743,0.02647872083,643.038147,93.73040771,743.0040283,93.3453064,743.0040283,78.95155334,743.0040283,0.0173933804,743.0040283,-0.01913836971,743.0040283,2.511073828,743.0040283,0.2314461172,743.0040283,0.04898700118,743.0040283,2.700938463,792.9735107,75.43679047,
759.9522095,0.02990775555,642.013855,93.7173233,742.012207,93.28822327,742.012207,78.8223877,742.012207,0.05384500325,742.012207,0.04216267914,742.012207,2.235610247,742.012207,0.1737042516,742.012207,0.01145108324,742.012207,2.407001972,792.0001221,84.32650757,
755.0197754,0.02686931193,640.9892578,93.7950058,741.0200195,93.31658173,741.0200195,78.82275391,741.0200195,0.0425334014,741.0200195,0.02050953545,741.0200195,2.09664917,741.0200195,0.3165238202,741.0200195,0.07591358572,741.0200195,2.184725285,791.0263672,91.87882233,
749.9371338,0.02591116168,639.9643555,93.88930511,740.0274658,93.35767365,740.0274658,78.96372223,740.0274658,0.06080361083,740.0274658,0.0778387785,740.0274658,1.941911101,740.0274658,0.2678140402,740.0274658,-0.008362118155,740.0274658,2.07938242,790.0521851,95.67723083,
744.9866943,0.02745679207,638.9391479,94.07102203,739.0345459,93.55752563,739.0345459,79.13677979,739.0345459,0.0243962314,739.0345459,0.04483887926,739.0345459,1.949319482,739.0345459,0.2810546458,739.0345459,0.01728423312,739.0345459,2.024909019,788.9384155,93.77954102,
740.0274658,0.02924907953,638.0601807,94.14529419,738.0413208,93.71451569,738.0413208,79.45178223,738.0413208,0.04150199145,738.0413208,-0.009923225269,738.0413208,2.060006142,738.0413208,0.3074322343,738.0413208,0.0421038866,738.0413208,1.984071732,787.9634399,85.43317413,
735.0594482,0.02597005107,637.0343628,94.28235626,737.0477295,93.84511566,737.0477295,79.61108398,737.0477295,0.006569073536,737.0477295,-0.02614507638,737.0477295,2.149249315,737.0477295,0.2845371366,737.0477295,0.04847382382,737.0477295,2.098463774,786.9881592,73.34375763,
729.9404907,0.02438396402,636.0083008,94.26567841,736.053772,94.08548737,736.053772,79.93732452,736.053772,-0.02052027546,736.053772,0.05937397853,736.053772,2.402352571,736.053772,0.3088284731,736.053772,0.04809960723,736.053772,2.244371176,786.0124512,60.87395096,
724.9549561,0.02949710749,634.9819336,94.23910522,735.0594482,94.28936005,735.0594482,80.41551208,735.0594482,0.01857343875,735.0594482,0.03232261166,735.0594482,3.004864693,735.0594482,0.2383473068,735.0594482,0.01442875899,735.0594482,2.730455399,785.036377,49.94826126,
719.9608765,0.02786013111,633.9552612,94.04930878,734.0648193,94.46809387,734.0648193,80.97126007,734.0648193,-0.008631043136,734.0648193,0.02276591398,734.0648193,4.205091953,734.0648193,0.1978787184,734.0648193,0.02502090111,734.0648193,3.656586647,784.0599365,40.59950256,
714.958252,0.02444020845,632.9282837,93.88931274,733.0698242,94.50839233,733.0698242,81.42524719,733.0698242,0.01110998634,733.0698242,-0.04700514302,733.0698242,7.002387047,733.0698242,0.1786141843,733.0698242,0.0273063574,733.0698242,5.625977993,782.9435425,32.7465477,
709.9472046,0.02818848751,632.0477905,93.82190704,731.932312,94.52128601,731.932312,81.96642303,731.932312,0.03251810372,731.932312,-0.020176908,731.932312,20.86830521,731.932312,0.1434888989,731.932312,0.03601433337,731.932312,13.98680782,781.9663086,27.67018127,
705.0712891,0.02751489729,631.0202637,93.813591,730.9365845,94.45150757,730.9365845,82.62485504,730.9365845,0.004324284382,730.9365845,-0.01318188012,730.9365845,58.05567551,730.9365845,0.1693322808,730.9365845,0.003849399975,730.9365845,42.91562271,780.9887085,23.57938576,
700.0437622,0.02432080172,629.9924316,93.86704254,729.9404907,94.26870728,729.9404907,83.13980865,729.9404907,0.01154937968,729.9404907,0.04743212089,729.9404907,35.78183365,729.9404907,0.1288757473,729.9404907,0.04875050858,729.9404907,49.61179733,780.0107422,20.27624321,
695.0079956,0.02730573341,628.9643555,93.96891785,728.9440918,94.08429718,728.9440918,83.51914978,728.9440918,0.004533663858,728.9440918,0.02008592896,728.9440918,9.310669899,728.9440918,0.1490103006,728.9440918,0.0677806437,728.9440918,23.11964417,779.0324097,17.37983704,
