TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	16/03/18
TIME	14:10:06
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-570, Rev. 1.00
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	950.0000
LASTX	350.0000
NPOINTS	601
FIRSTY	0.30800
MAXY	0.58688
MINY	0.30777
XYDATA
651.0000	0.38224
650.0000	0.38243
649.0000	0.38281
648.0000	0.38313
647.0000	0.38358
646.0000	0.38411
645.0000	0.38456
644.0000	0.38512
643.0000	0.38552
642.0000	0.38602
641.0000	0.3865
640.0000	0.38687
639.0000	0.38735
638.0000	0.38772
637.0000	0.38824
636.0000	0.38879
635.0000	0.38924
634.0000	0.38969
633.0000	0.39012
632.0000	0.39052
631.0000	0.39102
630.0000	0.39147
629.0000	0.39189
628.0000	0.39237
627.0000	0.3928
626.0000	0.39331
625.0000	0.39381
624.0000	0.39427
623.0000	0.3947
622.0000	0.39514
621.0000	0.39557
620.0000	0.39588
619.0000	0.39621
618.0000	0.39659
617.0000	0.397
616.0000	0.39735
615.0000	0.39778
614.0000	0.39816
613.0000	0.39865
612.0000	0.39902
611.0000	0.39939
610.0000	0.39985
609.0000	0.40027
608.0000	0.40064
607.0000	0.40099
606.0000	0.40127
605.0000	0.40163
604.0000	0.40188
603.0000	0.40218
602.0000	0.40256
601.0000	0.40294
600.0000	0.40332
599.0000	0.40377
598.0000	0.4042
597.0000	0.40462
596.0000	0.40495
595.0000	0.40538
594.0000	0.40575
593.0000	0.40614
592.0000	0.40657
591.0000	0.40694
590.0000	0.40729
589.0000	0.4077
588.0000	0.40802
587.0000	0.40834
586.0000	0.40871
585.0000	0.409
584.0000	0.40939
583.0000	0.40964
582.0000	0.41002
581.0000	0.41043
580.0000	0.41082
579.0000	0.41122
578.0000	0.41159
577.0000	0.41197
576.0000	0.41243
575.0000	0.41283
574.0000	0.41324
573.0000	0.41362
572.0000	0.41412
571.0000	0.41456
570.0000	0.41506
569.0000	0.41553
568.0000	0.416
567.0000	0.4165
566.0000	0.41691
565.0000	0.41742
564.0000	0.41794
563.0000	0.41841
562.0000	0.41903
561.0000	0.41961
560.0000	0.42019
559.0000	0.42081
558.0000	0.42139
557.0000	0.42208
556.0000	0.42272
555.0000	0.42332
554.0000	0.42399
553.0000	0.42461
552.0000	0.42519
551.0000	0.42573
550.0000	0.42618
549.0000	0.42667
548.0000	0.42721
547.0000	0.42784
546.0000	0.4284
545.0000	0.42899
544.0000	0.42955
543.0000	0.43019
542.0000	0.43073
541.0000	0.43121
540.0000	0.43177
539.0000	0.43226
538.0000	0.43282
537.0000	0.43331
536.0000	0.43373
535.0000	0.43428
534.0000	0.43484
533.0000	0.43532
532.0000	0.4358
531.0000	0.43635
530.0000	0.43689
529.0000	0.43737
528.0000	0.43783
527.0000	0.43841
526.0000	0.43894
525.0000	0.43944
524.0000	0.43991
523.0000	0.4404
522.0000	0.44093
521.0000	0.44138
520.0000	0.44262
519.0000	0.44283
518.0000	0.4431
517.0000	0.44341
516.0000	0.44389
515.0000	0.4444
514.0000	0.44474
513.0000	0.44529
512.0000	0.4459
511.0000	0.44643
510.0000	0.44705
509.0000	0.44756
508.0000	0.44822
507.0000	0.44878
506.0000	0.44943
505.0000	0.45003
504.0000	0.45052
503.0000	0.45109
502.0000	0.45167
501.0000	0.45238
500.0000	0.45298
499.0000	0.45368
498.0000	0.45433
497.0000	0.4551
496.0000	0.45586
495.0000	0.45651
494.0000	0.45724
493.0000	0.45788
492.0000	0.45859
491.0000	0.45943
490.0000	0.46011
489.0000	0.46085
488.0000	0.46158
487.0000	0.46236
486.0000	0.46306
485.0000	0.4637
484.0000	0.46423
483.0000	0.46479
482.0000	0.46544
481.0000	0.46611
480.0000	0.46675
479.0000	0.46734
478.0000	0.46794
477.0000	0.46863
476.0000	0.46925
475.0000	0.46975
474.0000	0.47021
473.0000	0.47092
472.0000	0.47152
471.0000	0.47193
470.0000	0.47258
469.0000	0.47312
468.0000	0.47374
467.0000	0.47441
466.0000	0.475
465.0000	0.47575
464.0000	0.47641
463.0000	0.477
462.0000	0.47757
461.0000	0.47827
460.0000	0.47892
459.0000	0.47956
458.0000	0.48019
457.0000	0.48103
456.0000	0.48203
455.0000	0.48289
454.0000	0.48369
453.0000	0.4846
452.0000	0.48542
451.0000	0.48637
450.0000	0.48716
449.0000	0.48789
448.0000	0.48869
447.0000	0.48948
446.0000	0.4904
445.0000	0.49144
444.0000	0.49228
443.0000	0.49325
442.0000	0.49419
441.0000	0.49517
440.0000	0.49608
439.0000	0.49701
438.0000	0.49796
437.0000	0.49892
436.0000	0.49974
435.0000	0.50067
434.0000	0.5016
433.0000	0.50254
432.0000	0.50342
431.0000	0.50445
430.0000	0.50557
429.0000	0.50666
428.0000	0.50789
427.0000	0.50925
426.0000	0.51049
425.0000	0.51159
424.0000	0.51259
423.0000	0.51363
422.0000	0.51451
421.0000	0.51522
420.0000	0.5169
419.0000	0.51743
418.0000	0.51807
417.0000	0.51894
416.0000	0.52017
415.0000	0.52131
414.0000	0.52253
413.0000	0.52392
412.0000	0.52544
411.0000	0.52664
410.0000	0.52786
409.0000	0.52939
408.0000	0.53095
407.0000	0.53253
406.0000	0.53395
405.0000	0.53563
404.0000	0.53741
403.0000	0.53923
402.0000	0.54106
401.0000	0.54314
400.0000	0.54519
399.0000	0.54722
398.0000	0.54911
397.0000	0.55091
396.0000	0.55278
395.0000	0.55453
394.0000	0.55588
393.0000	0.55756
392.0000	0.5593
391.0000	0.56116
390.0000	0.5629
389.0000	0.56456
388.0000	0.56611
387.0000	0.56764
386.0000	0.56898
385.0000	0.57018
384.0000	0.57127
383.0000	0.5723
382.0000	0.5733
381.0000	0.57406
380.0000	0.57478
379.0000	0.57517
378.0000	0.57571
377.0000	0.57582
376.0000	0.57594
375.0000	0.57572
374.0000	0.57538
373.0000	0.57508
372.0000	0.57445
371.0000	0.57356
370.0000	0.57114
369.0000	0.57037
368.0000	0.56972
367.0000	0.56921
366.0000	0.56874
365.0000	0.56818
364.0000	0.56779
363.0000	0.56765
362.0000	0.5678
361.0000	0.56832
360.0000	0.56892
359.0000	0.57026
358.0000	0.57197
357.0000	0.5737
356.0000	0.57552
355.0000	0.57722
354.0000	0.57921
353.0000	0.58131
352.0000	0.58313
351.0000	0.58488
350.0000	0.58688
