TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	13/05/23
TIME	15:22:37
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-570, Rev. 1.00
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	800.0000
LASTX	400.0000
NPOINTS	401
FIRSTY	0.03178
MAXY	1.11671
MINY	0.03178
XYDATA
612.0000	0.05058
611.0000	0.05153
610.0000	0.0526
609.0000	0.05378
608.0000	0.05507
607.0000	0.05647
606.0000	0.05806
605.0000	0.05981
604.0000	0.06175
603.0000	0.06387
602.0000	0.06624
601.0000	0.06887
600.0000	0.07182
599.0000	0.07506
598.0000	0.07866
597.0000	0.08269
596.0000	0.0871
595.0000	0.09205
594.0000	0.09748
593.0000	0.10348
592.0000	0.11003
591.0000	0.11723
590.0000	0.12507
589.0000	0.13365
588.0000	0.14299
587.0000	0.1531
586.0000	0.16406
585.0000	0.17578
584.0000	0.18829
583.0000	0.2016
582.0000	0.21564
581.0000	0.23043
580.0000	0.24593
579.0000	0.26201
578.0000	0.27853
577.0000	0.2954
576.0000	0.31265
575.0000	0.33007
574.0000	0.34751
573.0000	0.36479
572.0000	0.38173
571.0000	0.39823
570.0000	0.41402
569.0000	0.42892
568.0000	0.44285
567.0000	0.4558
566.0000	0.46749
565.0000	0.47788
564.0000	0.48677
563.0000	0.49427
562.0000	0.50032
561.0000	0.50493
560.0000	0.50806
559.0000	0.50983
558.0000	0.51028
557.0000	0.50949
556.0000	0.5076
555.0000	0.50466
554.0000	0.50086
553.0000	0.49621
552.0000	0.49092
551.0000	0.48508
550.0000	0.47877
549.0000	0.47208
548.0000	0.46507
547.0000	0.45787
546.0000	0.45052
545.0000	0.44317
544.0000	0.43584
543.0000	0.42864
542.0000	0.42159
541.0000	0.41476
540.0000	0.40815
539.0000	0.40189
538.0000	0.39599
537.0000	0.39048
536.0000	0.38539
535.0000	0.38075
534.0000	0.37659
533.0000	0.37288
532.0000	0.36966
531.0000	0.36691
530.0000	0.36467
529.0000	0.36288
528.0000	0.36161
527.0000	0.36075
526.0000	0.36044
525.0000	0.36059
524.0000	0.36124
523.0000	0.36234
522.0000	0.36393
521.0000	0.36597
520.0000	0.36962
519.0000	0.37218
518.0000	0.37529
517.0000	0.37908
516.0000	0.38323
515.0000	0.38777
514.0000	0.39275
513.0000	0.39808
512.0000	0.40381
511.0000	0.40982
510.0000	0.41615
509.0000	0.42271
508.0000	0.42956
507.0000	0.43669
506.0000	0.44408
505.0000	0.45165
504.0000	0.45937
503.0000	0.4672
502.0000	0.47522
501.0000	0.48332
500.0000	0.49156
